Day,Time,Load
21,19:30,1188.94
22,19:30,1140.24
23,19:30,1160.04
24,19:30,424.24
25,19:30,1168.44
26,19:30,1180.24
27,19:30,1174.14
28,19:30,207.14
29,19:30,1031.24
30,19:30,1089.94
31,19:30,921.84
1,20:00,1108.64
2,20:00,1183.64
3,20:00,1166.84
4,20:00,229.74
5,20:00,1185.84
6,20:00,1113.14
7,20:00,1123.34
8,20:00,1156.54
9,20:00,1220.34
10,20:00,1217.44
11,20:00,1235.04
12,20:00,1218.64
13,20:00,1173.44
14,20:00,1184.94
15,20:00,1163.14
16,20:00,1083.34
17,20:00,1064.24
18,20:00,1144.74
19,20:00,1148.94
20,20:00,1126.94
21,20:00,1169.84
22,20:00,1124.94
23,20:00,1183.94
24,20:00,1148.24
25,20:00,1161.44
26,20:00,1192.04
27,20:00,1136.24
28,20:00,1150.34
29,20:00,1099.74
30,20:00,1051.14
31,20:00,906.14
1,20:30,1089.34
2,20:30,1166.54
3,20:30,1142.24
4,20:30,123.74
5,20:30,1133.74
6,20:30,1112.54
7,20:30,1135.54
8,20:30,1142.34
9,20:30,1212.94
10,20:30,1195.44
11,20:30,1220.04
12,20:30,1188.14
13,20:30,1163.74
14,20:30,1164.44
15,20:30,1144.14
16,20:30,1143.24
17,20:30,1055.54
18,20:30,1113.04
19,20:30,1145.24
20,20:30,898.14
21,20:30,936.14
22,20:30,981.24
23,20:30,1143.84
24,20:30,1137.54
25,20:30,1143.64
26,20:30,1173.24
27,20:30,1130.34
28,20:30,1045.84
29,20:30,1087.64
30,20:30,1049.24
31,20:30,883.34
1,21:00,1088.74
2,21:00,1137.64
3,21:00,1103.64
4,21:00,913.14
5,21:00,979.64
6,21:00,1086.03
7,21:00,1120.34
8,21:00,1131.24
9,21:00,1117.94
10,21:00,1027.04
11,21:00,1179.94
12,21:00,1168.64
13,21:00,1097.14
14,21:00,1106.64
15,21:00,1134.94
16,21:00,1078.64
17,21:00,1030.14
18,21:00,918.74
19,21:00,1123.54
20,21:00,890.94
21,21:00,1051.34
22,21:00,858.14
23,21:00,904.74
24,21:00,1001.54
25,21:00,1014.04
26,21:00,1160.24
27,21:00,995.74
28,21:00,992.74
29,21:00,1027.14
30,21:00,968.24
31,21:00,830.46
1,22:00,773.74
2,22:00,835.04
3,22:00,824.44
4,22:00,826.94
5,22:00,810.44
6,22:00,657.54
7,22:00,844.14
8,22:00,856.94
9,22:00,923.64
10,22:00,1045.63
11,22:00,1113.14
12,22:00,1068.64
13,22:00,828.24
14,22:00,882.24
15,22:00,763.14
16,22:00,713.74
17,22:00,718.14
18,22:00,769.44
19,22:00,963.24
20,22:00,820.94
21,22:00,851.44
22,22:00,782.54
23,22:00,863.74
24,22:00,849.44
25,22:00,869.14
26,22:00,915.04
27,22:00,944.54
28,22:00,924.24
29,22:00,928.04
30,22:00,795.54
31,22:00,460.4
1,23:00,725.29
2,23:00,802.89
3,23:00,828.49
4,23:00,771.89
5,23:00,797.39
6,23:00,767.19
7,23:00,122.69
8,23:00,841.99
9,23:00,856.59
10,23:00,860.69
11,23:00,855.38
12,23:00,846.39
13,23:00,813.99
14,23:00,837.89
15,23:00,753.99
16,23:00,692.89
17,23:00,713.89
18,23:00,724.49
19,23:00,744.29
20,23:00,800.79
21,23:00,795.09
22,23:00,731.49
23,23:00,816.39
24,23:00,862.09
25,23:00,795.39
26,23:00,849.99
27,23:00,921.29
28,23:00,860.99
29,23:00,843.89
30,23:00,711.89
31,23:00,698.99
1,0:00,682.14
2,0:00,772.94
3,0:00,803.94
4,0:00,767.84
5,0:00,764.24
6,0:00,658.37
7,0:00,754.74
8,0:00,815.04
9,0:00,845.54
10,0:00,854.34
11,0:00,858.24
12,0:00,834.94
13,0:00,793.64
14,0:00,816.84
15,0:00,737.34
16,0:00,587.34
17,0:00,680.14
18,0:00,679.14
19,0:00,703.44
20,0:00,739.34
21,0:00,758.24
22,0:00,715.64
23,0:00,726.54
24,0:00,822.84
25,0:00,776.74
26,0:00,800.94
27,0:00,879.54
28,0:00,845.64
29,0:00,823.54
30,0:00,712.14
31,0:00,667.74
